Pathway_ID,Pathway_Name,GeneCount,pvalue,p.adjust,qvalue
hsa04064,NF-kappa B signaling pathway,11,0.004243241655365815,0.00021216208276829074,0.0001697296662146326
hsa04668,TNF signaling pathway,21,0.043942013697160776,0.0043942013697160776,0.003515361095772862
hsa04151,PI3K-Akt signaling pathway,13,0.01141870065865289,0.0017128050987979336,0.001370244079038347
hsa04630,JAK-STAT signaling pathway,18,0.02038596315197255,0.0040771926303945095,0.0032617541043156078
hsa04010,MAPK signaling pathway,23,0.023483740776782544,0.005870935194195636,0.0046967481553565095
hsa04310,Wnt signaling pathway,11,0.00784188565674981,0.002352565697024943,0.0018820525576199545
hsa04390,Hippo signaling pathway,20,0.027409887193697233,0.009593460517794031,0.007674768414235225
hsa04330,Notch signaling pathway,21,0.021993257537434405,0.008797303014973761,0.007037842411979009
hsa04115,p53 signaling pathway,21,0.020570624751879468,0.00925678113834576,0.007405424910676609
hsa04660,T cell receptor signaling pathway,10,0.04986896312146889,0.024934481560734446,0.019947585248587557
hsa04650,B cell receptor signaling pathway,7,0.025966788390146763,0.01428173361458072,0.011425386891664576
hsa04653,Natural killer cell mediated cytotoxicity,5,0.03803332571915315,0.02281999543149189,0.018255996345193513
hsa04666,Fc gamma R-mediated phagocytosis,6,0.008489224648064793,0.005517996021242115,0.004414396816993692
hsa04664,Fc epsilon RI signaling pathway,8,0.03981188885378524,0.02786832219764967,0.022294657758119736
hsa04062,Chemokine signaling pathway,16,0.03022404250586672,0.022668031879400037,0.01813442550352003
hsa04060,Cytokine-cytokine receptor interaction,15,0.0196993450388203,0.015759476031056242,0.012607580824844995
hsa05200,Pathways in cancer,17,0.026926602909857714,0.022887612473379056,0.018310089978703245
hsa05210,Colorectal cancer,20,0.04317820540949041,0.03886038486854137,0.031088307894833096
hsa05211,Renal cell carcinoma,3,0.03433388710256941,0.032617192747440946,0.02609375419795276
hsa05212,Pancreatic cancer,6,0.034403808082302166,0.034403808082302166,0.027523046465841736
