GO_ID,Term,Category,GeneCount,pvalue,p.adjust,qvalue
GO:5657119,positive regulation of immune response,CC,13,0.008618495490777298,0.00043092477453886486,0.0003447398196310919
GO:6032674,regulation of inflammatory response,BP,7,0.019616437731229532,0.001961643773122953,0.0015693150184983625
GO:738977,apoptotic process,CC,24,0.01396152249387864,0.002094228374081796,0.0016753826992654368
GO:6360753,cell proliferation,MF,19,0.027275176481280337,0.005455035296256067,0.004364028237004854
GO:6077228,NF-kappa B signaling pathway,BP,22,0.015365735788947552,0.003841433947236888,0.0030731471577895107
GO:778805,TNF signaling pathway,MF,11,0.03552401997453125,0.010657205992359375,0.0085257647938875
GO:1348687,PI3K-Akt signaling pathway,MF,12,0.03888034869864591,0.013608122044526067,0.010886497635620855
GO:7616962,JAK-STAT signaling pathway,BP,8,0.019626185026919145,0.007850474010767657,0.006280379208614126
GO:5970453,MAPK signaling pathway,MF,16,0.008970050760648156,0.00403652284229167,0.0032292182738333365
GO:1207935,Wnt signaling pathway,BP,26,0.014081913280406554,0.007040956640203278,0.005632765312162623
GO:4117245,Hippo signaling pathway,MF,25,0.009385793761706753,0.005162186568938714,0.004129749255150971
GO:9354066,Notch signaling pathway,BP,19,0.019593316646124743,0.011755989987674846,0.009404791990139877
GO:948483,p53 signaling pathway,BP,26,0.01688985398635077,0.010978405091128001,0.008782724072902402
GO:6740428,T cell receptor signaling pathway,BP,6,0.040447244237789504,0.028313070966452653,0.022650456773162124
GO:9525702,B cell receptor signaling pathway,CC,7,0.011338159335729996,0.008503619501797498,0.006802895601437999
GO:8385710,Natural killer cell mediated cytotoxicity,MF,15,0.01141870065865289,0.009134960526922312,0.00730796842153785
GO:4453951,Fc gamma R-mediated phagocytosis,CC,25,0.023483740776782544,0.019961179660265164,0.015968943728212132
GO:9052538,Fc epsilon RI signaling pathway,BP,12,0.037504460122488724,0.03375401411023985,0.027003211288191883
GO:9800057,Chemokine signaling pathway,CC,28,0.02964471352095349,0.028162477844905814,0.02252998227592465
GO:2330821,Cytokine-cytokine receptor interaction,CC,16,0.011746717198706885,0.011746717198706885,0.009397373758965509
